,Estimated_Pitch,Estimated_Yaw,Estimated_Roll,Ordered_Pitch,Ordered_Yaw,Ordered_Roll,Theta,Gamma,Point_Index
0,14.0,0.0,-5.0,0.0,50.0,0.0,50.0,0.0,0.0
1,17.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0
2,18.0,0.0,-1.0,0.0,50.0,0.0,50.0,0.0,0.0
3,16.0,1.0,1.0,0.0,50.0,0.0,50.0,0.0,0.0
4,17.0,2.0,7.0,0.0,50.0,0.0,50.0,0.0,0.0
5,22.0,3.0,11.0,0.0,50.0,0.0,50.0,0.0,0.0
6,23.0,3.0,14.0,0.0,50.0,0.0,50.0,0.0,0.0
7,24.0,4.0,16.0,0.0,50.0,0.0,50.0,0.0,0.0
8,25.0,4.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
9,29.0,6.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
10,25.0,8.0,21.0,0.0,50.0,0.0,50.0,0.0,0.0
11,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
12,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
13,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
14,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
15,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
16,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
17,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
18,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
19,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
20,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
21,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
22,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
23,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
24,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
25,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
26,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
27,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
28,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
29,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
30,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
31,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
32,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
33,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
34,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
35,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
36,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
37,28.0,8.0,23.0,0.0,50.0,0.0,50.0,0.0,0.0
