,Estimated_Pitch,Estimated_Yaw,Estimated_Roll,Ordered_Pitch,Ordered_Yaw,Ordered_Roll,Theta,Gamma,Point_Index
0,6.0,0.0,-9.0,0.0,50.0,0.0,50.0,0.0,0.0
1,7.0,4.0,-5.0,0.0,50.0,0.0,50.0,0.0,0.0
2,11.0,3.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0
3,19.0,6.0,6.0,0.0,50.0,0.0,50.0,0.0,0.0
4,20.0,8.0,6.0,0.0,50.0,0.0,50.0,0.0,0.0
5,21.0,12.0,12.0,0.0,50.0,0.0,50.0,0.0,0.0
6,22.0,14.0,14.0,0.0,50.0,0.0,50.0,0.0,0.0
7,24.0,18.0,18.0,0.0,50.0,0.0,50.0,0.0,0.0
8,24.0,17.0,18.0,0.0,50.0,0.0,50.0,0.0,0.0
9,24.0,17.0,18.0,0.0,50.0,0.0,50.0,0.0,0.0
10,25.0,17.0,18.0,0.0,50.0,0.0,50.0,0.0,0.0
11,25.0,16.0,18.0,0.0,50.0,0.0,50.0,0.0,0.0
12,25.0,16.0,17.0,0.0,50.0,0.0,50.0,0.0,0.0
13,24.0,16.0,21.0,0.0,50.0,0.0,50.0,0.0,0.0
14,25.0,16.0,18.0,0.0,50.0,0.0,50.0,0.0,0.0
15,25.0,15.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
16,25.0,15.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
17,25.0,14.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
18,24.0,14.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
19,25.0,14.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
20,25.0,13.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
21,25.0,13.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
22,25.0,13.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
23,25.0,12.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
24,25.0,12.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
25,25.0,11.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
26,25.0,11.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
27,25.0,11.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
28,25.0,10.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
29,24.0,10.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
30,25.0,10.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
31,25.0,9.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
32,25.0,9.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
33,25.0,8.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
34,24.0,8.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
35,25.0,8.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
36,25.0,7.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
37,25.0,7.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
38,25.0,7.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
39,25.0,6.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
40,25.0,6.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
41,25.0,5.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
42,25.0,5.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
43,25.0,5.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
44,25.0,4.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
45,25.0,4.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
46,25.0,4.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
47,25.0,3.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
48,25.0,3.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
49,25.0,3.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
50,25.0,2.0,19.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
51,27.0,5.0,23.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
52,26.0,12.0,29.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
53,25.0,24.0,32.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
54,26.0,30.0,35.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
55,24.0,35.0,38.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
56,22.0,40.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
57,22.0,40.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
58,22.0,40.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
59,22.0,40.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
60,22.0,40.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
61,22.0,40.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
62,22.0,40.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
63,22.0,40.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
64,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
65,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
66,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
67,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
68,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
69,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
70,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
71,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
72,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
73,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
74,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
75,22.0,39.0,44.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
76,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
77,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
78,22.0,39.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
79,22.0,39.0,44.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
80,22.0,38.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
81,22.0,38.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
82,22.0,38.0,43.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
