,Roll,Pitch,Yaw,Gamma Ordered,Theta Ordered,point_index
0,-1.0,9.0,0.0,0.0,20.0,0
1,0.0,14.0,3.0,0.0,20.0,0
2,3.0,14.0,9.0,0.0,20.0,0
3,6.0,16.0,10.0,0.0,20.0,0
4,6.0,16.0,9.0,0.0,20.0,0
5,6.0,16.0,9.0,0.0,20.0,0
6,6.0,16.0,8.0,0.0,20.0,0
7,6.0,16.0,8.0,0.0,20.0,0
8,6.0,16.0,7.0,0.0,20.0,0
9,6.0,16.0,6.0,0.0,20.0,0
10,6.0,16.0,6.0,0.0,20.0,0
11,6.0,16.0,5.0,0.0,20.0,0
12,6.0,16.0,5.0,0.0,20.0,0
13,6.0,16.0,4.0,0.0,20.0,0
14,6.0,16.0,4.0,0.0,20.0,0
15,6.0,16.0,3.0,0.0,20.0,0
16,6.0,16.0,3.0,0.0,20.0,0
17,6.0,16.0,2.0,0.0,20.0,0
18,6.0,16.0,2.0,0.0,20.0,0
19,6.0,16.0,1.0,0.0,20.0,0
20,6.0,16.0,1.0,0.0,20.0,0
21,6.0,16.0,0.0,0.0,20.0,0
22,6.0,16.0,0.0,0.0,20.0,0
23,6.0,16.0,0.0,0.0,20.0,0
24,6.0,15.0,0.0,0.0,20.0,0
25,6.0,16.0,-1.0,0.0,20.0,0
26,6.0,16.0,-1.0,0.0,20.0,0
27,6.0,16.0,-2.0,0.0,20.0,0
28,6.0,16.0,-2.0,0.0,20.0,0
29,6.0,16.0,-3.0,0.0,20.0,0
30,6.0,16.0,-3.0,0.0,20.0,0
31,7.0,16.0,-4.0,0.0,20.0,0
32,6.0,16.0,-4.0,0.0,20.0,0
33,6.0,15.0,-5.0,0.0,20.0,0
34,6.0,16.0,-5.0,0.0,20.0,0
35,6.0,16.0,-6.0,0.0,20.0,0
36,6.0,16.0,-6.0,0.0,20.0,0
37,6.0,16.0,-7.0,0.0,20.0,0
38,6.0,16.0,-7.0,0.0,20.0,0
39,6.0,16.0,-8.0,0.0,20.0,0
40,6.0,16.0,-8.0,0.0,20.0,0
41,6.0,16.0,-9.0,0.0,20.0,0
42,6.0,16.0,-9.0,0.0,20.0,0
43,6.0,16.0,-10.0,0.0,20.0,0
44,6.0,16.0,-10.0,0.0,20.0,0
45,6.0,16.0,-11.0,0.0,20.0,0
46,6.0,16.0,-11.0,0.0,20.0,0
47,6.0,16.0,-12.0,0.0,20.0,0
48,6.0,16.0,-12.0,0.0,20.0,0
49,6.0,16.0,-12.0,0.0,20.0,0
0,6.0,16.0,-13.0,18.94736842105263,20.0,1
1,11.0,14.0,-2.0,18.94736842105263,20.0,1
2,18.0,14.0,5.0,18.94736842105263,20.0,1
3,21.0,17.0,10.0,18.94736842105263,20.0,1
4,20.0,16.0,9.0,18.94736842105263,20.0,1
5,20.0,16.0,9.0,18.94736842105263,20.0,1
6,20.0,16.0,9.0,18.94736842105263,20.0,1
7,20.0,16.0,9.0,18.94736842105263,20.0,1
8,20.0,16.0,8.0,18.94736842105263,20.0,1
9,20.0,16.0,8.0,18.94736842105263,20.0,1
10,20.0,16.0,8.0,18.94736842105263,20.0,1
11,20.0,16.0,8.0,18.94736842105263,20.0,1
12,20.0,16.0,8.0,18.94736842105263,20.0,1
13,20.0,16.0,7.0,18.94736842105263,20.0,1
14,20.0,16.0,7.0,18.94736842105263,20.0,1
15,20.0,16.0,7.0,18.94736842105263,20.0,1
16,20.0,16.0,7.0,18.94736842105263,20.0,1
17,20.0,16.0,7.0,18.94736842105263,20.0,1
18,19.0,17.0,6.0,18.94736842105263,20.0,1
19,20.0,16.0,6.0,18.94736842105263,20.0,1
20,20.0,16.0,6.0,18.94736842105263,20.0,1
21,20.0,16.0,6.0,18.94736842105263,20.0,1
22,20.0,16.0,6.0,18.94736842105263,20.0,1
23,20.0,16.0,5.0,18.94736842105263,20.0,1
24,20.0,17.0,5.0,18.94736842105263,20.0,1
25,20.0,17.0,5.0,18.94736842105263,20.0,1
26,20.0,16.0,5.0,18.94736842105263,20.0,1
27,20.0,16.0,5.0,18.94736842105263,20.0,1
28,20.0,16.0,4.0,18.94736842105263,20.0,1
29,20.0,16.0,4.0,18.94736842105263,20.0,1
30,19.0,16.0,4.0,18.94736842105263,20.0,1
31,20.0,16.0,4.0,18.94736842105263,20.0,1
32,20.0,16.0,4.0,18.94736842105263,20.0,1
