,Estimated_Pitch,Estimated_Yaw,Estimated_Roll,Ordered_Pitch,Ordered_Yaw,Ordered_Roll,Theta,Gamma,Point_Index
0,15.0,0.0,-6.0,0.0,50.0,0.0,50.0,0.0,0.0
1,22.0,26.0,1.0,0.0,50.0,0.0,50.0,0.0,0.0
2,37.0,61.0,12.0,0.0,50.0,0.0,50.0,0.0,0.0
3,31.0,70.0,18.0,0.0,50.0,0.0,50.0,0.0,0.0
4,32.0,69.0,18.0,0.0,50.0,0.0,50.0,0.0,0.0
5,32.0,46.0,18.0,0.0,50.0,0.0,50.0,0.0,0.0
6,32.0,56.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
7,31.0,54.0,17.0,0.0,50.0,0.0,50.0,0.0,0.0
8,34.0,126.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
9,32.0,133.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
10,31.0,132.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
11,31.0,130.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
12,31.0,128.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
13,31.0,126.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
14,31.0,124.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
15,31.0,122.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
16,31.0,120.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
17,31.0,118.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
18,31.0,116.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
19,31.0,114.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
20,31.0,112.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
21,31.0,110.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
22,31.0,108.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
23,31.0,106.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
24,31.0,104.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
25,31.0,102.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
26,31.0,100.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
27,31.0,99.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
28,31.0,97.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
29,31.0,95.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
30,31.0,93.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
31,31.0,91.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
32,31.0,89.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
33,31.0,87.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
34,31.0,85.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
35,31.0,84.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
36,31.0,82.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
37,31.0,80.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
38,31.0,78.0,19.0,0.0,50.0,0.0,50.0,0.0,0.0
39,31.0,76.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
40,31.0,75.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
41,31.0,73.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
42,31.0,71.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
43,31.0,69.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
44,31.0,68.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
45,31.0,66.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
46,31.0,64.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
47,31.0,62.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
48,31.0,60.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
49,31.0,58.0,20.0,0.0,50.0,0.0,50.0,0.0,0.0
50,31.0,57.0,20.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
51,31.0,97.0,28.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
52,27.0,126.0,37.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
53,27.0,143.0,41.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
54,27.0,143.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
55,27.0,143.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
56,27.0,142.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
57,27.0,142.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
58,27.0,142.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
59,27.0,141.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
60,27.0,140.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
61,27.0,140.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
62,27.0,139.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
63,27.0,139.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
64,27.0,138.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
65,27.0,137.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
66,27.0,137.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
67,27.0,136.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
68,27.0,135.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
69,27.0,135.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
70,27.0,134.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
71,27.0,133.0,42.0,-9.158444694108637,46.43043194849842,-21.154531811558837,50.0,18.94736842105263,1.0
