,Roll,Pitch,Yaw,Gamma Ordered,Theta Ordered,point_index
0,2.0,17.0,0.0,0.0,50.0,0
1,4.0,21.0,0.0,0.0,50.0,0
2,6.0,16.0,1.0,0.0,50.0,0
3,12.0,22.0,1.0,0.0,50.0,0
4,13.0,26.0,2.0,0.0,50.0,0
5,20.0,28.0,3.0,0.0,50.0,0
6,23.0,27.0,3.0,0.0,50.0,0
7,23.0,26.0,3.0,0.0,50.0,0
8,26.0,28.0,3.0,0.0,50.0,0
9,26.0,28.0,3.0,0.0,50.0,0
10,27.0,28.0,3.0,0.0,50.0,0
11,27.0,28.0,3.0,0.0,50.0,0
12,27.0,28.0,3.0,0.0,50.0,0
13,27.0,28.0,3.0,0.0,50.0,0
14,27.0,28.0,3.0,0.0,50.0,0
15,27.0,28.0,3.0,0.0,50.0,0
16,27.0,28.0,3.0,0.0,50.0,0
17,27.0,28.0,3.0,0.0,50.0,0
18,27.0,28.0,3.0,0.0,50.0,0
19,27.0,28.0,3.0,0.0,50.0,0
20,27.0,28.0,3.0,0.0,50.0,0
21,27.0,28.0,3.0,0.0,50.0,0
22,27.0,28.0,3.0,0.0,50.0,0
23,27.0,28.0,3.0,0.0,50.0,0
24,27.0,28.0,3.0,0.0,50.0,0
25,27.0,28.0,3.0,0.0,50.0,0
26,27.0,28.0,3.0,0.0,50.0,0
27,27.0,28.0,3.0,0.0,50.0,0
28,27.0,28.0,3.0,0.0,50.0,0
29,27.0,28.0,3.0,0.0,50.0,0
30,28.0,28.0,3.0,0.0,50.0,0
31,27.0,28.0,3.0,0.0,50.0,0
32,28.0,28.0,2.0,0.0,50.0,0
33,27.0,28.0,2.0,0.0,50.0,0
34,27.0,28.0,2.0,0.0,50.0,0
35,27.0,28.0,2.0,0.0,50.0,0
36,27.0,28.0,2.0,0.0,50.0,0
37,28.0,28.0,2.0,0.0,50.0,0
38,27.0,28.0,2.0,0.0,50.0,0
39,28.0,28.0,2.0,0.0,50.0,0
40,27.0,28.0,2.0,0.0,50.0,0
41,27.0,28.0,2.0,0.0,50.0,0
42,28.0,28.0,2.0,0.0,50.0,0
43,28.0,28.0,2.0,0.0,50.0,0
44,28.0,28.0,2.0,0.0,50.0,0
45,27.0,28.0,2.0,0.0,50.0,0
46,28.0,28.0,2.0,0.0,50.0,0
47,28.0,28.0,2.0,0.0,50.0,0
48,27.0,28.0,2.0,0.0,50.0,0
49,28.0,28.0,2.0,0.0,50.0,0
0,28.0,28.0,2.0,18.94736842105263,50.0,1
1,30.0,27.0,2.0,18.94736842105263,50.0,1
2,31.0,29.0,3.0,18.94736842105263,50.0,1
3,36.0,28.0,4.0,18.94736842105263,50.0,1
4,39.0,27.0,5.0,18.94736842105263,50.0,1
5,36.0,29.0,6.0,18.94736842105263,50.0,1
6,40.0,26.0,7.0,18.94736842105263,50.0,1
7,44.0,24.0,8.0,18.94736842105263,50.0,1
8,46.0,23.0,9.0,18.94736842105263,50.0,1
9,47.0,23.0,9.0,18.94736842105263,50.0,1
10,47.0,23.0,9.0,18.94736842105263,50.0,1
11,47.0,24.0,9.0,18.94736842105263,50.0,1
12,47.0,24.0,9.0,18.94736842105263,50.0,1
13,47.0,24.0,9.0,18.94736842105263,50.0,1
14,47.0,24.0,9.0,18.94736842105263,50.0,1
15,47.0,24.0,9.0,18.94736842105263,50.0,1
16,47.0,24.0,9.0,18.94736842105263,50.0,1
17,47.0,24.0,9.0,18.94736842105263,50.0,1
18,47.0,24.0,9.0,18.94736842105263,50.0,1
19,47.0,24.0,9.0,18.94736842105263,50.0,1
20,47.0,24.0,9.0,18.94736842105263,50.0,1
21,47.0,24.0,9.0,18.94736842105263,50.0,1
22,47.0,24.0,9.0,18.94736842105263,50.0,1
23,47.0,24.0,9.0,18.94736842105263,50.0,1
24,47.0,24.0,9.0,18.94736842105263,50.0,1
25,47.0,24.0,9.0,18.94736842105263,50.0,1
26,47.0,23.0,9.0,18.94736842105263,50.0,1
27,47.0,24.0,9.0,18.94736842105263,50.0,1
28,47.0,24.0,9.0,18.94736842105263,50.0,1
29,47.0,24.0,9.0,18.94736842105263,50.0,1
30,47.0,24.0,9.0,18.94736842105263,50.0,1
31,47.0,24.0,9.0,18.94736842105263,50.0,1
32,47.0,24.0,9.0,18.94736842105263,50.0,1
33,47.0,24.0,9.0,18.94736842105263,50.0,1
34,47.0,24.0,9.0,18.94736842105263,50.0,1
35,47.0,24.0,9.0,18.94736842105263,50.0,1
36,47.0,24.0,9.0,18.94736842105263,50.0,1
37,47.0,23.0,9.0,18.94736842105263,50.0,1
38,47.0,24.0,9.0,18.94736842105263,50.0,1
39,47.0,24.0,9.0,18.94736842105263,50.0,1
40,47.0,24.0,9.0,18.94736842105263,50.0,1
41,47.0,24.0,9.0,18.94736842105263,50.0,1
42,47.0,24.0,9.0,18.94736842105263,50.0,1
43,47.0,24.0,9.0,18.94736842105263,50.0,1
44,47.0,23.0,9.0,18.94736842105263,50.0,1
45,47.0,23.0,9.0,18.94736842105263,50.0,1
46,47.0,23.0,9.0,18.94736842105263,50.0,1
47,47.0,24.0,9.0,18.94736842105263,50.0,1
48,47.0,24.0,9.0,18.94736842105263,50.0,1
49,47.0,24.0,10.0,18.94736842105263,50.0,1
0,47.0,23.0,10.0,37.89473684210526,50.0,2
1,45.0,23.0,11.0,37.89473684210526,50.0,2
2,49.0,20.0,12.0,37.89473684210526,50.0,2
3,55.0,16.0,13.0,37.89473684210526,50.0,2
4,52.0,18.0,14.0,37.89473684210526,50.0,2
5,55.0,16.0,15.0,37.89473684210526,50.0,2
6,56.0,16.0,16.0,37.89473684210526,50.0,2
7,57.0,15.0,16.0,37.89473684210526,50.0,2
8,59.0,14.0,18.0,37.89473684210526,50.0,2
9,60.0,14.0,18.0,37.89473684210526,50.0,2
10,61.0,13.0,18.0,37.89473684210526,50.0,2
11,62.0,13.0,18.0,37.89473684210526,50.0,2
12,62.0,13.0,19.0,37.89473684210526,50.0,2
13,62.0,13.0,19.0,37.89473684210526,50.0,2
14,62.0,13.0,19.0,37.89473684210526,50.0,2
15,62.0,13.0,19.0,37.89473684210526,50.0,2
16,62.0,13.0,19.0,37.89473684210526,50.0,2
17,62.0,13.0,19.0,37.89473684210526,50.0,2
18,62.0,13.0,19.0,37.89473684210526,50.0,2
19,62.0,13.0,19.0,37.89473684210526,50.0,2
20,62.0,13.0,19.0,37.89473684210526,50.0,2
21,62.0,13.0,19.0,37.89473684210526,50.0,2
22,62.0,13.0,19.0,37.89473684210526,50.0,2
23,62.0,13.0,19.0,37.89473684210526,50.0,2
24,62.0,13.0,19.0,37.89473684210526,50.0,2
25,62.0,13.0,19.0,37.89473684210526,50.0,2
26,62.0,13.0,19.0,37.89473684210526,50.0,2
27,62.0,13.0,19.0,37.89473684210526,50.0,2
28,62.0,13.0,19.0,37.89473684210526,50.0,2
29,62.0,13.0,19.0,37.89473684210526,50.0,2
30,62.0,13.0,19.0,37.89473684210526,50.0,2
31,62.0,13.0,19.0,37.89473684210526,50.0,2
32,62.0,13.0,19.0,37.89473684210526,50.0,2
33,62.0,13.0,19.0,37.89473684210526,50.0,2
34,62.0,13.0,19.0,37.89473684210526,50.0,2
35,62.0,13.0,19.0,37.89473684210526,50.0,2
36,62.0,13.0,19.0,37.89473684210526,50.0,2
37,62.0,13.0,19.0,37.89473684210526,50.0,2
38,62.0,13.0,19.0,37.89473684210526,50.0,2
39,62.0,13.0,19.0,37.89473684210526,50.0,2
40,62.0,13.0,20.0,37.89473684210526,50.0,2
41,62.0,13.0,20.0,37.89473684210526,50.0,2
42,62.0,13.0,20.0,37.89473684210526,50.0,2
43,62.0,13.0,20.0,37.89473684210526,50.0,2
44,62.0,13.0,20.0,37.89473684210526,50.0,2
45,62.0,13.0,20.0,37.89473684210526,50.0,2
46,62.0,13.0,20.0,37.89473684210526,50.0,2
47,62.0,13.0,20.0,37.89473684210526,50.0,2
48,62.0,13.0,20.0,37.89473684210526,50.0,2
49,62.0,13.0,20.0,37.89473684210526,50.0,2
0,62.0,13.0,20.0,56.84210526315789,50.0,3
1,62.0,13.0,21.0,56.84210526315789,50.0,3
2,62.0,12.0,21.0,56.84210526315789,50.0,3
3,61.0,9.0,22.0,56.84210526315789,50.0,3
4,60.0,8.0,24.0,56.84210526315789,50.0,3
5,61.0,6.0,25.0,56.84210526315789,50.0,3
6,61.0,5.0,26.0,56.84210526315789,50.0,3
7,61.0,2.0,26.0,56.84210526315789,50.0,3
8,62.0,2.0,27.0,56.84210526315789,50.0,3
9,63.0,2.0,28.0,56.84210526315789,50.0,3
10,64.0,1.0,28.0,56.84210526315789,50.0,3
11,65.0,1.0,28.0,56.84210526315789,50.0,3
12,65.0,0.0,29.0,56.84210526315789,50.0,3
13,66.0,0.0,29.0,56.84210526315789,50.0,3
14,66.0,0.0,29.0,56.84210526315789,50.0,3
15,66.0,0.0,29.0,56.84210526315789,50.0,3
16,66.0,0.0,29.0,56.84210526315789,50.0,3
17,66.0,0.0,29.0,56.84210526315789,50.0,3
18,66.0,0.0,29.0,56.84210526315789,50.0,3
19,66.0,0.0,29.0,56.84210526315789,50.0,3
20,66.0,0.0,29.0,56.84210526315789,50.0,3
21,66.0,0.0,29.0,56.84210526315789,50.0,3
22,66.0,0.0,29.0,56.84210526315789,50.0,3
23,66.0,0.0,29.0,56.84210526315789,50.0,3
24,66.0,0.0,29.0,56.84210526315789,50.0,3
25,66.0,0.0,29.0,56.84210526315789,50.0,3
26,66.0,0.0,30.0,56.84210526315789,50.0,3
27,66.0,0.0,30.0,56.84210526315789,50.0,3
28,66.0,0.0,30.0,56.84210526315789,50.0,3
