,Estimated_Pitch,Estimated_Yaw,Estimated_Roll,Ordered_Pitch,Ordered_Yaw,Ordered_Roll,Theta,Gamma,Point_Index
0,10.0,0.0,-8.0,0.0,20.0,0.0,20.0,0.0,0.0
1,14.0,3.0,-4.0,0.0,20.0,0.0,20.0,0.0,0.0
2,14.0,6.0,-5.0,0.0,20.0,0.0,20.0,0.0,0.0
3,13.0,7.0,-4.0,0.0,20.0,0.0,20.0,0.0,0.0
4,15.0,7.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
5,15.0,6.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
6,15.0,6.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
7,15.0,5.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
8,15.0,5.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
9,15.0,4.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
10,15.0,4.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
11,15.0,3.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
12,15.0,3.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
13,15.0,3.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
14,15.0,2.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
15,15.0,2.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
16,15.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
17,15.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
18,15.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
19,15.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
20,15.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
21,15.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
22,15.0,-1.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
23,15.0,-1.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
24,15.0,-2.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
25,15.0,-2.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
26,15.0,-3.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
27,15.0,-3.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
28,15.0,-4.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
29,15.0,-4.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
30,15.0,-5.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
31,15.0,-5.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
32,15.0,-6.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
33,15.0,-6.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
34,15.0,-7.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
35,15.0,-7.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
36,15.0,-8.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
37,15.0,-8.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
38,16.0,-9.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
39,15.0,-9.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
40,15.0,-10.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
41,15.0,-10.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
42,15.0,-10.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
43,15.0,-11.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
44,15.0,-11.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
45,15.0,-12.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
46,15.0,-12.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
47,15.0,-13.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
48,15.0,-13.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
49,15.0,-14.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0
50,15.0,-14.0,0.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
51,15.0,-10.0,0.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
52,18.0,-8.0,3.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
53,19.0,-5.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
54,18.0,-5.0,10.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
55,18.0,-6.0,10.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
56,18.0,-6.0,10.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
57,18.0,-7.0,10.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
58,18.0,-7.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
59,19.0,-8.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
60,18.0,-8.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
61,19.0,-8.0,10.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
62,19.0,-9.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
63,19.0,-9.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
64,19.0,-10.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
65,19.0,-10.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
66,19.0,-11.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
67,19.0,-11.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
68,19.0,-12.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
69,19.0,-12.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
70,19.0,-13.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
71,19.0,-13.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
72,19.0,-14.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
73,19.0,-14.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
74,18.0,-15.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
75,19.0,-15.0,10.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
76,19.0,-16.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
77,19.0,-16.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
78,19.0,-17.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
79,19.0,-17.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
80,19.0,-18.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
81,19.0,-18.0,10.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
82,19.0,-19.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
83,19.0,-19.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
84,19.0,-20.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
85,19.0,-20.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
86,19.0,-20.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
87,18.0,-21.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
88,19.0,-21.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
89,19.0,-22.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
90,19.0,-22.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
