,Estimated_Pitch,Estimated_Yaw,Estimated_Roll,Ordered_Pitch,Ordered_Yaw,Ordered_Roll,Theta,Gamma,Point_Index
0,3.0,0.0,-4.0,0.0,20.0,0.0,20.0,0.0,0.0
1,5.0,2.0,-3.0,0.0,20.0,0.0,20.0,0.0,0.0
2,10.0,6.0,3.0,0.0,20.0,0.0,20.0,0.0,0.0
3,10.0,9.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
4,10.0,8.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
5,10.0,8.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
6,10.0,8.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
7,10.0,8.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
8,10.0,7.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
9,10.0,7.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
10,10.0,7.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
11,10.0,6.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
12,10.0,6.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
13,10.0,6.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
14,10.0,5.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
15,10.0,5.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
16,10.0,5.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
17,10.0,5.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
18,10.0,4.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
19,10.0,4.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
20,10.0,4.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
21,10.0,3.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
22,10.0,3.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
23,10.0,3.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
24,10.0,2.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
25,10.0,2.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
26,10.0,2.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
27,10.0,2.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
28,10.0,1.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
29,10.0,1.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
30,10.0,1.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
31,10.0,0.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
32,10.0,0.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
33,10.0,0.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
34,10.0,0.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
35,10.0,0.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
36,10.0,0.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
37,10.0,0.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
38,10.0,-1.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
39,10.0,-1.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
40,10.0,-1.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
41,10.0,-1.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
42,10.0,-2.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
43,10.0,-2.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
44,10.0,-2.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
45,10.0,-2.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
46,10.0,-3.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
47,10.0,-3.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
48,10.0,-3.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
49,10.0,-4.0,2.0,0.0,20.0,0.0,20.0,0.0,0.0
50,10.0,-4.0,2.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
51,11.0,-3.0,7.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
52,14.0,-2.0,9.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
53,12.0,1.0,21.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
54,13.0,1.0,17.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
55,13.0,1.0,16.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
56,13.0,1.0,17.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
57,13.0,1.0,16.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
58,13.0,1.0,16.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
59,13.0,1.0,16.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
60,13.0,1.0,17.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
61,13.0,0.0,16.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
62,13.0,0.0,17.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
63,13.0,0.0,16.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
