,Estimated_Pitch,Estimated_Yaw,Estimated_Roll,Ordered_Pitch,Ordered_Yaw,Ordered_Roll,Theta,Gamma,Point_Index
0,4.0,0.0,-8.0,0.0,20.0,0.0,20.0,0.0,0.0
1,9.0,5.0,-3.0,0.0,20.0,0.0,20.0,0.0,0.0
2,11.0,7.0,-2.0,0.0,20.0,0.0,20.0,0.0,0.0
3,12.0,8.0,-3.0,0.0,20.0,0.0,20.0,0.0,0.0
4,13.0,7.0,-2.0,0.0,20.0,0.0,20.0,0.0,0.0
5,13.0,6.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
6,13.0,6.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
7,13.0,5.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
8,13.0,4.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
9,13.0,4.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
10,13.0,3.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
11,13.0,2.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
12,13.0,2.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
13,13.0,1.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
14,13.0,0.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
15,13.0,0.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
16,13.0,0.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
17,13.0,0.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
18,13.0,-1.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
19,12.0,-2.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
20,12.0,-2.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
21,13.0,-3.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
22,13.0,-3.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
23,13.0,-4.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
24,13.0,-5.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
25,13.0,-5.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
26,13.0,-6.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
27,13.0,-6.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
28,13.0,-7.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
29,13.0,-7.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
30,13.0,-8.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
31,13.0,-9.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
32,13.0,-9.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
33,13.0,-10.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
34,13.0,-10.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
35,13.0,-11.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
36,13.0,-12.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
37,13.0,-12.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
38,13.0,-13.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
39,13.0,-13.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
40,13.0,-14.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
41,13.0,-15.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
42,13.0,-15.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
43,13.0,-16.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
44,13.0,-17.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
45,13.0,-17.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
46,13.0,-18.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
47,13.0,-18.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
48,13.0,-19.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
49,13.0,-19.0,-1.0,0.0,20.0,0.0,20.0,0.0,0.0
50,13.0,-20.0,-1.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
51,17.0,-17.0,3.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
52,16.0,-14.0,7.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
53,21.0,-15.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
54,18.0,-16.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
55,18.0,-17.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
56,18.0,-17.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
57,18.0,-18.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
58,18.0,-18.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
59,18.0,-19.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
60,18.0,-19.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
61,18.0,-20.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
62,18.0,-21.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
63,18.0,-21.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
64,18.0,-22.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
65,18.0,-22.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
66,18.0,-23.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
67,18.0,-23.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
68,18.0,-24.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
69,18.0,-24.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
70,18.0,-25.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
71,18.0,-25.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
72,18.0,-26.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
73,18.0,-26.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
74,18.0,-27.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
75,18.0,-27.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
76,18.0,-27.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
77,18.0,-28.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
78,18.0,-28.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
79,18.0,-29.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
80,18.0,-29.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
81,18.0,-30.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
82,18.0,-30.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
83,18.0,-31.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
84,18.0,-31.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
85,18.0,-31.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
86,18.0,-32.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
87,18.0,-32.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
88,18.0,-33.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
89,18.0,-33.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
90,18.0,-34.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
91,18.0,-34.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
92,18.0,-35.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
93,18.0,-35.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
94,18.0,-35.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
95,18.0,-36.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
96,18.0,-36.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
97,18.0,-37.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
98,18.0,-37.0,11.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
