,Estimated_Pitch,Estimated_Yaw,Estimated_Roll,Ordered_Pitch,Ordered_Yaw,Ordered_Roll,Theta,Gamma,Point_Index
0,11.0,0.0,8.0,0.0,20.0,0.0,20.0,0.0,0.0
1,9.0,4.0,17.0,0.0,20.0,0.0,20.0,0.0,0.0
2,15.0,5.0,11.0,0.0,20.0,0.0,20.0,0.0,0.0
3,18.0,13.0,19.0,0.0,20.0,0.0,20.0,0.0,0.0
4,17.0,14.0,19.0,0.0,20.0,0.0,20.0,0.0,0.0
5,18.0,15.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
6,17.0,15.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
7,17.0,16.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
8,17.0,17.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
9,17.0,18.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
10,17.0,19.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
11,17.0,19.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
12,17.0,20.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
13,18.0,21.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
14,18.0,22.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
15,18.0,22.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
16,18.0,23.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
17,18.0,24.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
18,18.0,25.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
19,18.0,26.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
20,18.0,26.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
21,17.0,27.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
22,18.0,28.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
23,18.0,29.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
24,18.0,29.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
25,18.0,30.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
26,18.0,31.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
27,18.0,32.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
28,17.0,32.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
29,18.0,33.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
30,18.0,34.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
31,18.0,35.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
32,18.0,35.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
33,17.0,36.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
34,18.0,37.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
35,18.0,38.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
36,18.0,38.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
37,18.0,39.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
38,18.0,40.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
39,17.0,40.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
40,18.0,41.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
41,18.0,42.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
42,18.0,43.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
43,18.0,43.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
44,18.0,44.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
45,18.0,45.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
46,17.0,46.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
47,18.0,46.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
48,17.0,47.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
49,18.0,48.0,18.0,0.0,20.0,0.0,20.0,0.0,0.0
50,18.0,49.0,18.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
51,18.0,50.0,18.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
52,20.0,53.0,21.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
53,27.0,54.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
54,23.0,56.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
55,24.0,57.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
56,24.0,58.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
57,24.0,58.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
58,24.0,59.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
59,24.0,60.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
60,24.0,60.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
61,24.0,61.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
62,24.0,61.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
63,24.0,62.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
64,24.0,63.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
65,24.0,63.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
66,24.0,64.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
67,24.0,64.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
68,24.0,65.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
69,24.0,66.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
70,24.0,66.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
71,24.0,67.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
72,24.0,67.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
73,24.0,68.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
74,24.0,68.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
75,24.0,69.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
76,24.0,69.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
77,24.0,70.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
78,24.0,70.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
79,24.0,71.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
80,24.0,72.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
81,24.0,72.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
82,24.0,73.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
83,24.0,73.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
84,25.0,74.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
85,24.0,74.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
86,24.0,75.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
87,24.0,75.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
88,24.0,76.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
89,25.0,76.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
90,24.0,77.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
91,25.0,78.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
92,24.0,78.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
93,25.0,79.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
94,24.0,79.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
95,25.0,80.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
96,24.0,80.0,28.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
97,24.0,81.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
98,25.0,81.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
99,24.0,82.0,29.0,-1.1215327438505533,18.874029284017166,-6.740006580722847,20.0,18.94736842105263,1.0
100,24.0,83.0,29.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
101,25.0,86.0,27.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
102,24.0,92.0,37.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
103,23.0,93.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
104,23.0,94.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
105,23.0,95.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
106,23.0,95.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
107,23.0,96.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
108,23.0,97.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
109,23.0,97.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
110,23.0,98.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
111,23.0,99.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
112,23.0,99.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
113,23.0,100.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
114,23.0,100.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
115,23.0,101.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
116,23.0,102.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
117,23.0,102.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
118,23.0,103.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
119,23.0,103.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
120,23.0,104.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
121,23.0,104.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
122,23.0,105.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
123,23.0,105.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
124,23.0,106.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
125,23.0,107.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
126,23.0,107.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
127,23.0,108.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
128,23.0,108.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
129,23.0,109.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
130,23.0,109.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
131,23.0,110.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
132,23.0,110.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
133,23.0,111.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
134,23.0,112.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
135,23.0,112.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
136,23.0,113.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
137,23.0,113.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
138,23.0,114.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
139,23.0,115.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
140,23.0,115.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
141,23.0,116.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
142,23.0,116.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
143,23.0,117.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
144,23.0,117.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
145,23.0,118.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
146,23.0,118.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
147,23.0,119.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
148,23.0,120.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
149,23.0,120.0,38.0,-1.7396315156060476,15.658432397995636,-12.601564056653173,20.0,37.89473684210526,2.0
150,23.0,121.0,38.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
151,21.0,127.0,41.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
152,23.0,129.0,41.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
153,22.0,130.0,43.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
154,22.0,130.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
155,22.0,131.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
156,22.0,131.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
157,22.0,131.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
158,22.0,132.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
159,22.0,132.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
160,22.0,133.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
161,22.0,133.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
162,22.0,134.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
163,22.0,134.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
164,22.0,135.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
165,22.0,135.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
166,22.0,135.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
167,22.0,136.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
168,22.0,136.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
169,22.0,137.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
170,22.0,137.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
171,22.0,138.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
172,22.0,138.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
173,22.0,139.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
174,22.0,139.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
175,22.0,139.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
176,22.0,140.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
177,22.0,140.0,42.0,-1.610806322567875,10.781683685481006,-16.946171627012287,20.0,56.84210526315789,3.0
